1000	CLOCK	START	1000

1000	BONE	RESW	1

1003	BTWO	RESW	1

1006	TSET	RESB	1

1007	ZERO	WORD	0

100A	ONE	WORD	1

100D	TWO	WORD	2

1010	THREE	WORD	3

1013	FOUR	WORD	4

1016	MAXB	WORD	8

1019	AM	BYTE	C'A'

101A	PM	BYTE	C'P'

101B	LCD	WORD	64

101E	SPH	WORD	3600

1021	SPM	WORD	60

1024	MINS	RESW	1

1027	HOURS	RESW	1

102A	MLEFT	RESW	1

102D	TEN	WORD	10

1030	HONE	RESB	1

1031	HTWO	RESB	1

1032	MONE	RESB	1

1033	MTWO	RESB	1

1034	ZHEX	WORD	48

1037	MRET	RESB	4

103B	CVRET	RESB	5

1040	SBIT	WORD	8388607

1043	PMTM	WORD	43200

1046	TIMER	RESW	1

1049	TEMPT	WORD	8466728

104C		0x00	TEMPT

104F		0x0C	TIMER

1052	MILT	0x00	TIMER

1055		0x40	SBIT

1058		0x38	CVT

105B		0x00	TIMER

105E		0x24	SPH

1061		0x0C	HOURS

1064		0x20	SPH

1067		0x0C	MLEFT

106A		0x00	TIMER

106D		0x1C	MLEFT

1070		0x24	SPM

1073		0x0C	MINS

1076		0x48	ASCII

1079		0x04	ZERO

107C		0x50	HONE

107F		0x54	MRET,X

1082		0x04	ONE

1085		0x50	HTWO

1088		0x54	MRET,X

108B		0x04	TWO

108E		0x50	MONE

1091		0x54	MRET,X

1094		0x04	THREE

1097		0x50	MTWO

109A		0x54	MRET,X

109D		0x3C	FIN

10A0	CVT	0x00	TIMER

10A3		0x28	PMTM

10A6	CVPM	0x38	CVAM

10A9		0x00	TIMER

10AC		0x1C	PMTM

10AF		0x24	SPH

10B2		0x0C	HOURS

10B5		0x20	SPH

10B8		0x0C	MLEFT

10BB		0x00	TIMER

10BE		0x1C	MLEFT

10C1		0x24	SPM

10C4		0x0C	MINS

10C7		0x48	ASCII

10CA		0x04	ZERO

10CD		0x50	HONE

10D0		0x54	CVRET,X

10D3		0x04	ONE

10D6		0x50	HTWO

10D9		0x54	CVRET,X

10DC		0x04	TWO

10DF		0x50	MONE

10E2		0x54	CVRET,X

10E5		0x04	THREE

10E8		0x50	MTWO

10EB		0x54	CVRET,X

10EE		0x04	FOUR

10F1		0x50	PM

10F4		0x54	CVRET,X

10F7		0x3C	FIN

10FA	CVAM	0x00	TIMER

10FD		0x24	SPH

1100		0x0C	HOURS

1103		0x20	SPH

1106		0x0C	MLEFT

1109		0x00	TIMER

110C		0x1C	MLEFT

110F		0x24	SPM

1112		0x0C	MINS

1115		0x48	ASCII

1118		0x04	ZERO

111B		0x50	HONE

111E		0x54	CVRET,X

1121		0x04	ONE

1124		0x50	HTWO

1127		0x54	CVRET,X

112A		0x04	TWO

112D		0x50	MONE

1130		0x54	CVRET,X

1133		0x04	THREE

1136		0x50	MTWO

1139		0x54	CVRET,X

113C		0x04	FOUR

113F		0x50	AM

1142		0x54	CVRET,X

1145		0x3C	FIN

1148	ASCII	0x00	HOURS

114B		0x24	TEN

114E		0x0C	BONE

1151		0x18	ZHEX

1154		0x0C	HONE

1157		0x00	HOURS

115A		0x1C	BONE

115D		0x18	ZHEX

1160		0x0C	HTWO

1163		0x00	MINS

1166		0x24	TEN

1169		0x0C	BTWO

116C		0x18	ZHEX

116F		0x0C	MONE

1172		0x00	MINS

1175		0x1C	BTWO

1178		0x18	ZHEX

117B		0x0C	MTWO

117E		0x4C	(null)

1181	FIN	END	

